end,DepreciationDepletionAndAmortization
2015-09-26,9200000000
2016-09-24,8300000000
2016-09-24,10505000000
2017-09-30,8200000000
2017-09-30,10157000000
2017-09-30,10157000000
2017-12-30,2745000000
2018-03-31,5484000000
2018-06-30,8149000000
2018-09-29,10903000000
2018-09-29,10903000000
2018-09-29,10903000000
2018-12-29,3395000000
2018-12-29,3395000000
2019-03-30,6435000000
2019-03-30,6435000000
2019-06-29,9368000000
2019-06-29,9368000000
2019-09-28,12547000000
2019-09-28,12547000000
2019-09-28,12547000000
2019-12-28,2816000000
2019-12-28,2816000000
2020-03-28,5602000000
2020-03-28,5602000000
2020-06-27,8354000000
2020-06-27,8354000000
2020-09-26,11056000000
2020-09-26,11056000000
2020-09-26,11056000000
2020-12-26,2666000000
2020-12-26,2666000000
2021-03-27,5463000000
2021-03-27,5463000000
2021-06-26,8295000000
2021-06-26,8295000000
2021-09-25,11284000000
2021-09-25,11284000000
2021-09-25,11284000000
2021-12-25,2697000000
2021-12-25,2697000000
2022-03-26,5434000000
2022-03-26,5434000000
2022-06-25,8239000000
2022-06-25,8239000000
2022-09-24,11104000000
2022-09-24,11104000000
2022-09-24,11104000000
2022-12-31,2916000000
2022-12-31,2916000000
2023-04-01,5814000000
2023-04-01,5814000000
2023-07-01,8866000000
2023-07-01,8866000000
2023-09-30,11519000000
2023-09-30,11519000000
2023-12-30,2848000000
2023-12-30,2848000000
2024-03-30,5684000000
2024-03-30,5684000000
2024-06-29,8534000000
2024-06-29,8534000000
2024-09-28,11445000000
2024-12-28,3080000000
2025-03-29,5741000000
2025-06-28,8571000000
