end,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
2011-09-24,34205000000
2012-06-30,44870000000
2012-06-30,11861000000
2012-09-29,55763000000
2012-09-29,55763000000
2012-09-29,55763000000
2012-12-29,17672000000
2013-03-30,30577000000
2013-03-30,12905000000
2013-06-29,40012000000
2013-06-29,40012000000
2013-06-29,9435000000
2013-06-29,9435000000
2013-09-28,50155000000
2013-09-28,50155000000
2013-09-28,50155000000
2013-09-28,50155000000
2013-12-28,17709000000
2013-12-28,17709000000
2014-03-29,31527000000
2014-03-29,31527000000
2014-03-29,13818000000
2014-03-29,13818000000
2014-06-28,42011000000
2014-06-28,42011000000
2014-06-28,10484000000
2014-06-28,10484000000
2014-09-27,53483000000
2014-09-27,53483000000
2014-09-27,53483000000
2014-09-27,53483000000
2014-12-27,24416000000
2014-12-27,24416000000
2015-03-28,42980000000
2015-03-28,42980000000
2015-03-28,18564000000
2015-03-28,18564000000
2015-06-27,57453000000
2015-06-27,57453000000
2015-06-27,14473000000
2015-06-27,14473000000
2015-09-26,72515000000
2015-09-26,72515000000
2015-09-26,72515000000
2015-12-26,24573000000
2015-12-26,24573000000
2016-03-26,38715000000
2016-03-26,38715000000
2016-03-26,14142000000
2016-03-26,14142000000
2016-06-25,49184000000
2016-06-25,49184000000
2016-06-25,10469000000
2016-06-25,10469000000
2016-09-24,61372000000
2016-09-24,61372000000
2016-09-24,61372000000
2016-12-31,24180000000
2016-12-31,24180000000
2017-04-01,38864000000
2017-04-01,38864000000
2017-04-01,14684000000
2017-04-01,14684000000
2017-07-01,50172000000
2017-07-01,50172000000
2017-07-01,11308000000
2017-07-01,11308000000
2017-09-30,64089000000
2017-09-30,64089000000
2017-09-30,64089000000
2017-12-30,27030000000
2017-12-30,27030000000
2018-03-31,43198000000
2018-03-31,43198000000
2018-03-31,16168000000
2018-03-31,16168000000
2018-06-30,56482000000
2018-06-30,56482000000
2018-06-30,13284000000
2018-06-30,13284000000
2018-09-29,72903000000
2018-09-29,72903000000
2018-09-29,72903000000
2018-12-29,23906000000
2018-12-29,23906000000
2019-03-30,37699000000
2019-03-30,37699000000
2019-03-30,13793000000
2019-03-30,13793000000
2019-06-29,49610000000
2019-06-29,49610000000
2019-06-29,11911000000
2019-06-29,11911000000
2019-09-28,65737000000
2019-09-28,65737000000
2019-09-28,65737000000
2019-12-28,25918000000
2019-12-28,25918000000
2020-03-28,39053000000
2020-03-28,39053000000
2020-03-28,13135000000
2020-03-28,13135000000
2020-06-27,52190000000
2020-06-27,52190000000
2020-06-27,13137000000
2020-06-27,13137000000
2020-09-26,67091000000
2020-09-26,67091000000
2020-09-26,67091000000
2020-12-26,33579000000
2020-12-26,33579000000
2021-03-27,61590000000
2021-03-27,61590000000
2021-03-27,28011000000
2021-03-27,28011000000
2021-06-26,85959000000
2021-06-26,85959000000
2021-06-26,24369000000
2021-06-26,24369000000
2021-09-25,109207000000
2021-09-25,109207000000
2021-09-25,109207000000
2021-12-25,41241000000
2021-12-25,41241000000
2022-03-26,71380000000
2022-03-26,71380000000
2022-03-26,30139000000
2022-03-26,30139000000
2022-06-25,94446000000
2022-06-25,94446000000
2022-06-25,23066000000
2022-06-25,23066000000
2022-09-24,119103000000
2022-09-24,119103000000
2022-09-24,119103000000
2022-12-31,35623000000
2022-12-31,35623000000
2023-04-01,64005000000
2023-04-01,64005000000
2023-04-01,28382000000
2023-04-01,28382000000
2023-07-01,86738000000
2023-07-01,86738000000
2023-07-01,22733000000
2023-07-01,22733000000
2023-09-30,113736000000
2023-09-30,113736000000
2023-12-30,40323000000
2023-12-30,40323000000
2024-03-30,68381000000
2024-03-30,68381000000
2024-03-30,28058000000
2024-03-30,28058000000
2024-06-29,93875000000
2024-06-29,93875000000
2024-06-29,25494000000
2024-06-29,25494000000
2024-09-28,123485000000
2024-12-28,42584000000
2025-03-29,71894000000
2025-03-29,29310000000
2025-06-28,99925000000
2025-06-28,28031000000
