end,IncreaseDecreaseInOtherReceivables
2008-09-27,-110000000
2009-06-27,-788000000
2009-09-26,-586000000
2009-09-26,-586000000
2009-12-26,95000000
2010-03-27,47000000
2010-06-26,1256000000
2010-06-26,1256000000
2010-09-25,2718000000
2010-09-25,2718000000
2010-09-25,2718000000
2010-09-25,2718000000
2010-12-25,433000000
2010-12-25,433000000
2011-03-26,883000000
2011-03-26,883000000
2011-06-25,955000000
2011-06-25,955000000
2011-09-24,1934000000
2011-09-24,1934000000
2011-09-24,1934000000
2011-09-24,1934000000
2011-12-31,1206000000
2011-12-31,1206000000
2012-03-31,379000000
2012-03-31,379000000
2012-06-30,293000000
2012-06-30,293000000
2012-09-29,1414000000
2012-09-29,1414000000
2012-09-29,1414000000
2012-09-29,1414000000
2012-09-29,1414000000
2012-12-29,2174000000
2012-12-29,2174000000
2013-03-30,-1510000000
2013-03-30,-1510000000
2013-06-29,-3148000000
2013-06-29,-3148000000
2013-09-28,-223000000
2013-09-28,-223000000
2013-09-28,-223000000
2013-12-28,3459000000
2013-12-28,3459000000
2014-03-29,-1419000000
2014-03-29,-1419000000
2014-06-28,-1486000000
2014-06-28,-1486000000
2014-09-27,2220000000
2014-09-27,2220000000
2014-09-27,2220000000
2014-12-27,3508000000
2015-03-28,-2500000000
2015-06-27,-222000000
2015-06-27,-222000000
2015-09-26,3735000000
2015-09-26,3735000000
2015-12-26,-1826000000
2016-03-26,-5899000000
2016-06-25,-6166000000
2016-06-25,-6166000000
2016-09-24,51000000
2016-09-24,51000000
2016-09-24,51000000
2016-12-31,375000000
2016-12-31,375000000
2017-04-01,-4512000000
2017-04-01,-4512000000
2017-07-01,-3312000000
2017-07-01,-3312000000
2017-09-30,4254000000
2017-09-30,4254000000
2017-09-30,4254000000
2017-12-30,9660000000
2017-12-30,9660000000
2018-03-31,-9715000000
2018-03-31,-9715000000
2018-06-30,-5536000000
2018-06-30,-5536000000
2018-09-29,8010000000
2018-09-29,8010000000
2018-09-29,8010000000
2018-12-29,-6905000000
2018-12-29,-6905000000
2019-03-30,-14616000000
2019-03-30,-14616000000
2019-06-29,-13483000000
2019-06-29,-13483000000
2019-09-28,-2931000000
2019-09-28,-2931000000
2019-09-28,-2931000000
2019-12-28,-3902000000
2019-12-28,-3902000000
2020-03-28,-7923000000
2020-03-28,-7923000000
2020-06-27,-8685000000
2020-06-27,-8685000000
2020-09-26,-1553000000
2020-09-26,-1553000000
2020-09-26,-1553000000
2020-12-26,10194000000
2020-12-26,10194000000
2021-03-27,-6792000000
2021-03-27,-6792000000
2021-06-26,-4892000000
2021-06-26,-4892000000
2021-09-25,3903000000
2021-09-25,3903000000
2021-09-25,3903000000
2021-12-25,9812000000
2021-12-25,9812000000
2022-03-26,-643000000
2022-03-26,-643000000
2022-06-25,-4789000000
2022-06-25,-4789000000
2022-09-24,7520000000
2022-09-24,7520000000
2022-09-24,7520000000
2022-12-31,-2320000000
2022-12-31,-2320000000
2023-04-01,-14785000000
2023-04-01,-14785000000
2023-07-01,-13111000000
2023-07-01,-13111000000
2023-09-30,-1271000000
2023-09-30,-1271000000
2023-12-30,-4569000000
2023-12-30,-4569000000
2024-03-30,-12164000000
2024-03-30,-12164000000
2024-06-29,-11100000000
2024-06-29,-11100000000
2024-09-28,1356000000
2024-12-28,-3166000000
2025-03-29,-9171000000
2025-06-28,-13555000000
