end,InventoryNet
2008-09-27,509000000
2008-09-27,509000000
2008-09-27,509000000
2009-06-27,380000000
2009-09-26,455000000
2009-09-26,455000000
2009-09-26,455000000
2009-09-26,455000000
2009-09-26,455000000
2009-09-26,455000000
2009-12-26,576000000
2010-03-27,638000000
2010-06-26,942000000
2010-09-25,1051000000
2010-09-25,1051000000
2010-09-25,1051000000
2010-09-25,1051000000
2010-09-25,1051000000
2010-12-25,885000000
2011-03-26,930000000
2011-06-25,889000000
2011-09-24,776000000
2011-09-24,776000000
2011-09-24,776000000
2011-09-24,776000000
2011-09-24,776000000
2011-09-24,776000000
2011-12-31,1236000000
2012-03-31,1102000000
2012-06-30,1122000000
2012-09-29,791000000
2012-09-29,791000000
2012-09-29,791000000
2012-09-29,791000000
2012-09-29,791000000
2012-09-29,791000000
2012-12-29,1455000000
2013-03-30,1245000000
2013-06-29,1697000000
2013-09-28,1764000000
2013-09-28,1764000000
2013-09-28,1764000000
2013-09-28,1764000000
2013-09-28,1764000000
2013-09-28,1764000000
2013-12-28,2122000000
2014-03-29,1829000000
2014-06-28,1594000000
2014-09-27,2111000000
2014-09-27,2111000000
2014-09-27,2111000000
2014-09-27,2111000000
2014-09-27,2111000000
2014-09-27,2111000000
2014-12-27,2283000000
2015-03-28,2396000000
2015-06-27,2042000000
2015-09-26,2349000000
2015-09-26,2349000000
2015-09-26,2349000000
2015-09-26,2349000000
2015-09-26,2349000000
2015-12-26,2451000000
2016-03-26,2281000000
2016-06-25,1831000000
2016-09-24,2132000000
2016-09-24,2132000000
2016-09-24,2132000000
2016-09-24,2132000000
2016-09-24,2132000000
2016-12-31,2712000000
2017-04-01,2910000000
2017-07-01,3146000000
2017-09-30,4855000000
2017-09-30,4855000000
2017-09-30,4855000000
2017-09-30,4855000000
2017-09-30,4855000000
2017-12-30,4421000000
2018-03-31,7662000000
2018-06-30,5936000000
2018-09-29,3956000000
2018-09-29,3956000000
2018-09-29,3956000000
2018-09-29,3956000000
2018-09-29,3956000000
2018-12-29,4988000000
2019-03-30,4884000000
2019-06-29,3355000000
2019-09-28,4106000000
2019-09-28,4106000000
2019-09-28,4106000000
2019-09-28,4106000000
2019-09-28,4106000000
2019-12-28,4097000000
2020-03-28,3334000000
2020-06-27,3978000000
2020-09-26,4061000000
2020-09-26,4061000000
2020-09-26,4061000000
2020-09-26,4061000000
2020-09-26,4061000000
2020-12-26,4973000000
2021-03-27,5219000000
2021-06-26,5178000000
2021-09-25,6580000000
2021-09-25,6580000000
2021-09-25,6580000000
2021-09-25,6580000000
2021-09-25,6580000000
2021-12-25,5876000000
2022-03-26,5460000000
2022-06-25,5433000000
2022-09-24,4946000000
2022-09-24,4946000000
2022-09-24,4946000000
2022-09-24,4946000000
2022-09-24,4946000000
2022-12-31,6820000000
2023-04-01,7482000000
2023-07-01,7351000000
2023-09-30,6331000000
2023-09-30,6331000000
2023-09-30,6331000000
2023-09-30,6331000000
2023-09-30,6331000000
2023-12-30,6511000000
2024-03-30,6232000000
2024-06-29,6165000000
2024-09-28,7286000000
2024-09-28,7286000000
2024-09-28,7286000000
2024-09-28,7286000000
2024-12-28,6911000000
2025-03-29,6269000000
2025-06-28,5925000000
