end,Liabilities
2008-09-27,18542000000
2008-09-27,18542000000
2008-09-27,13874000000
2009-06-27,22252000000
2009-09-26,26019000000
2009-09-26,15861000000
2009-09-26,15861000000
2009-09-26,15861000000
2009-09-26,15861000000
2009-09-26,15861000000
2009-12-26,18158000000
2010-03-27,17709000000
2010-06-26,21614000000
2010-09-25,27392000000
2010-09-25,27392000000
2010-09-25,27392000000
2010-09-25,27392000000
2010-09-25,27392000000
2010-12-25,32076000000
2011-03-26,33427000000
2011-06-25,37415000000
2011-09-24,39756000000
2011-09-24,39756000000
2011-09-24,39756000000
2011-09-24,39756000000
2011-09-24,39756000000
2011-09-24,39756000000
2011-12-31,48627000000
2012-03-31,48436000000
2012-06-30,51150000000
2012-09-29,57854000000
2012-09-29,57854000000
2012-09-29,57854000000
2012-09-29,57854000000
2012-09-29,57854000000
2012-09-29,57854000000
2012-12-29,68742000000
2013-03-30,59253000000
2013-06-29,76502000000
2013-09-28,83451000000
2013-09-28,83451000000
2013-09-28,83451000000
2013-09-28,83451000000
2013-09-28,83451000000
2013-09-28,83451000000
2013-12-28,95500000000
2014-03-29,85810000000
2014-06-28,101580000000
2014-09-27,120292000000
2014-09-27,120292000000
2014-09-27,120292000000
2014-09-27,120292000000
2014-09-27,120292000000
2014-09-27,120292000000
2014-12-27,138566000000
2015-03-28,132188000000
2015-06-27,147474000000
2015-09-26,171124000000
2015-09-26,171124000000
2015-09-26,171124000000
2015-09-26,171124000000
2015-09-26,170990000000
2015-12-26,165017000000
2016-03-26,174820000000
2016-06-25,179061000000
2016-09-24,193437000000
2016-09-24,193437000000
2016-09-24,193437000000
2016-09-24,193437000000
2016-09-24,193437000000
2016-12-31,198751000000
2017-04-01,200450000000
2017-07-01,212748000000
2017-09-30,241272000000
2017-09-30,241272000000
2017-09-30,241272000000
2017-09-30,241272000000
2017-09-30,241272000000
2017-12-30,266595000000
2018-03-31,240624000000
2018-06-30,234248000000
2018-09-29,258578000000
2018-09-29,258578000000
2018-09-29,258578000000
2018-09-29,258578000000
2018-09-29,258578000000
2018-12-29,255827000000
2019-03-30,236138000000
2019-06-29,225783000000
2019-09-28,248028000000
2019-09-28,248028000000
2019-09-28,248028000000
2019-09-28,248028000000
2019-09-28,248028000000
2019-12-28,251087000000
2020-03-28,241975000000
2020-06-27,245062000000
2020-09-26,258549000000
2020-09-26,258549000000
2020-09-26,258549000000
2020-09-26,258549000000
2020-09-26,258549000000
2020-12-26,287830000000
2021-03-27,267980000000
2021-06-26,265560000000
2021-09-25,287912000000
2021-09-25,287912000000
2021-09-25,287912000000
2021-09-25,287912000000
2021-09-25,287912000000
2021-12-25,309259000000
2022-03-26,283263000000
2022-06-25,278202000000
2022-09-24,302083000000
2022-09-24,302083000000
2022-09-24,302083000000
2022-09-24,302083000000
2022-09-24,302083000000
2022-12-31,290020000000
2023-04-01,270002000000
2023-07-01,274764000000
2023-09-30,290437000000
2023-09-30,290437000000
2023-09-30,290437000000
2023-09-30,290437000000
2023-09-30,290437000000
2023-12-30,279414000000
2024-03-30,263217000000
2024-06-29,264904000000
2024-09-28,308030000000
2024-09-28,308030000000
2024-09-28,308030000000
2024-09-28,308030000000
2024-12-28,277327000000
2025-03-29,264437000000
2025-06-28,265665000000
