end,NetCashProvidedByUsedInFinancingActivities
2007-09-29,739000000
2007-09-29,739000000
2008-06-28,916000000
2008-09-27,1116000000
2008-09-27,1116000000
2008-09-27,1116000000
2008-12-27,62000000
2009-03-28,136000000
2009-06-27,344000000
2009-06-27,344000000
2009-09-26,663000000
2009-09-26,663000000
2009-09-26,663000000
2009-09-26,663000000
2009-12-26,523000000
2009-12-26,523000000
2010-03-27,685000000
2010-03-27,685000000
2010-06-26,1001000000
2010-06-26,1001000000
2010-09-25,1257000000
2010-09-25,1257000000
2010-09-25,1257000000
2010-09-25,1257000000
2010-12-25,429000000
2010-12-25,429000000
2011-03-26,976000000
2011-03-26,976000000
2011-06-25,1013000000
2011-06-25,1013000000
2011-09-24,1444000000
2011-09-24,1444000000
2011-09-24,1444000000
2011-09-24,1444000000
2011-12-31,69000000
2011-12-31,69000000
2012-03-31,379000000
2012-03-31,379000000
2012-06-30,324000000
2012-06-30,324000000
2012-09-29,-1698000000
2012-09-29,-1698000000
2012-09-29,-1698000000
2012-12-29,-4497000000
2012-12-29,-4497000000
2013-03-30,-6745000000
2013-06-29,-8871000000
2013-09-28,-16379000000
2013-12-28,-7749000000
2015-09-26,-17716000000
2016-03-26,-4560000000
2016-06-25,-14001000000
2016-09-24,-20483000000
2016-09-24,-20890000000
2016-12-31,-12225000000
2017-04-01,-11582000000
2017-04-01,-11807000000
2017-07-01,-13351000000
2017-07-01,-13885000000
2017-09-30,-17347000000
2017-09-30,-17974000000
2017-09-30,-17974000000
2017-12-30,-7501000000
2017-12-30,-7501000000
2018-03-31,-33773000000
2018-03-31,-33773000000
2018-06-30,-65296000000
2018-06-30,-65296000000
2018-09-29,-87876000000
2018-09-29,-87876000000
2018-09-29,-87876000000
2018-12-29,-13676000000
2018-12-29,-13676000000
2019-03-30,-43133000000
2019-03-30,-43133000000
2019-06-29,-69937000000
2019-06-29,-69937000000
2019-09-28,-90976000000
2019-09-28,-90976000000
2019-09-28,-90976000000
2019-12-28,-25407000000
2019-12-28,-25407000000
2020-03-28,-46347000000
2020-03-28,-46347000000
2020-06-27,-65463000000
2020-06-27,-65463000000
2020-09-26,-86820000000
2020-09-26,-86820000000
2020-09-26,-86820000000
2020-12-26,-32249000000
2020-12-26,-32249000000
2021-03-27,-43575000000
2021-03-27,-43575000000
2021-06-26,-72971000000
2021-06-26,-72971000000
2021-09-25,-93353000000
2021-09-25,-93353000000
2021-09-25,-93353000000
2021-12-25,-28159000000
2021-12-25,-28159000000
2022-03-26,-56510000000
2022-03-26,-56510000000
2022-06-25,-83955000000
2022-06-25,-83955000000
2022-09-24,-110749000000
2022-09-24,-110749000000
2022-09-24,-110749000000
2022-12-31,-35563000000
2022-12-31,-35563000000
2023-04-01,-61287000000
2023-04-01,-61287000000
2023-07-01,-85335000000
2023-07-01,-85335000000
2023-09-30,-108488000000
2023-09-30,-108488000000
2023-12-30,-30585000000
2023-12-30,-30585000000
2024-03-30,-61018000000
2024-03-30,-61018000000
2024-06-29,-97035000000
2024-06-29,-97035000000
2024-09-28,-121983000000
2024-12-28,-39371000000
2025-03-29,-68377000000
2025-06-28,-93210000000
