end,NetCashProvidedByUsedInOperatingActivities
2007-09-29,5470000000
2007-09-29,5470000000
2008-06-28,5301000000
2008-09-27,9596000000
2008-09-27,9596000000
2008-09-27,9596000000
2008-12-27,3938000000
2009-03-28,4779000000
2009-06-27,7049000000
2009-06-27,7049000000
2009-09-26,10159000000
2009-09-26,10159000000
2009-09-26,10159000000
2009-09-26,10159000000
2009-12-26,5781000000
2009-12-26,5781000000
2010-03-27,8111000000
2010-03-27,8111000000
2010-06-26,12912000000
2010-06-26,12912000000
2010-09-25,18595000000
2010-09-25,18595000000
2010-09-25,18595000000
2010-09-25,18595000000
2010-12-25,9773000000
2010-12-25,9773000000
2011-03-26,15992000000
2011-03-26,15992000000
2011-06-25,27100000000
2011-06-25,27100000000
2011-09-24,37529000000
2011-09-24,37529000000
2011-09-24,37529000000
2011-09-24,37529000000
2011-12-31,17554000000
2011-12-31,17554000000
2012-03-31,31531000000
2012-03-31,31531000000
2012-06-30,41720000000
2012-06-30,41720000000
2012-09-29,50856000000
2012-09-29,50856000000
2012-09-29,50856000000
2012-12-29,23426000000
2012-12-29,23426000000
2013-03-30,35930000000
2013-06-29,43758000000
2013-09-28,53666000000
2013-12-28,22670000000
2015-09-26,81266000000
2016-03-26,39064000000
2016-06-25,49698000000
2016-09-24,65824000000
2016-09-24,66231000000
2016-12-31,27234000000
2017-04-01,39579000000
2017-04-01,39804000000
2017-07-01,47942000000
2017-07-01,48476000000
2017-09-30,63598000000
2017-09-30,64225000000
2017-09-30,64225000000
2017-12-30,28293000000
2017-12-30,28293000000
2018-03-31,43423000000
2018-03-31,43423000000
2018-06-30,57911000000
2018-06-30,57911000000
2018-09-29,77434000000
2018-09-29,77434000000
2018-09-29,77434000000
2018-12-29,26690000000
2018-12-29,26690000000
2019-03-30,37845000000
2019-03-30,37845000000
2019-06-29,49481000000
2019-06-29,49481000000
2019-09-28,69391000000
2019-09-28,69391000000
2019-09-28,69391000000
2019-12-28,30516000000
2019-12-28,30516000000
2020-03-28,43827000000
2020-03-28,43827000000
2020-06-27,60098000000
2020-06-27,60098000000
2020-09-26,80674000000
2020-09-26,80674000000
2020-09-26,80674000000
2020-12-26,38763000000
2020-12-26,38763000000
2021-03-27,62744000000
2021-03-27,62744000000
2021-06-26,83838000000
2021-06-26,83838000000
2021-09-25,104038000000
2021-09-25,104038000000
2021-09-25,104038000000
2021-12-25,46966000000
2021-12-25,46966000000
2022-03-26,75132000000
2022-03-26,75132000000
2022-06-25,98024000000
2022-06-25,98024000000
2022-09-24,122151000000
2022-09-24,122151000000
2022-09-24,122151000000
2022-12-31,34005000000
2022-12-31,34005000000
2023-04-01,62565000000
2023-04-01,62565000000
2023-07-01,88945000000
2023-07-01,88945000000
2023-09-30,110543000000
2023-09-30,110543000000
2023-12-30,39895000000
2023-12-30,39895000000
2024-03-30,62585000000
2024-03-30,62585000000
2024-06-29,91443000000
2024-06-29,91443000000
2024-09-28,118254000000
2024-12-28,29935000000
2025-03-29,53887000000
2025-06-28,81754000000
