end,OperatingExpenses
2007-09-29,3745000000
2007-09-29,3745000000
2008-06-28,3573000000
2008-06-28,1208000000
2008-09-27,4870000000
2008-09-27,4870000000
2008-09-27,4870000000
2008-12-27,1406000000
2009-03-28,2710000000
2009-03-28,1304000000
2009-06-27,4061000000
2009-06-27,4061000000
2009-06-27,1351000000
2009-06-27,1351000000
2009-09-26,5482000000
2009-09-26,5482000000
2009-09-26,5482000000
2009-09-26,5482000000
2009-12-26,1686000000
2009-12-26,1686000000
2010-03-27,3332000000
2010-03-27,3332000000
2010-03-27,1646000000
2010-03-27,1646000000
2010-06-26,5234000000
2010-06-26,5234000000
2010-06-26,1902000000
2010-06-26,1902000000
2010-09-25,7299000000
2010-09-25,7299000000
2010-09-25,7299000000
2010-09-25,7299000000
2010-12-25,2471000000
2010-12-25,2471000000
2011-03-26,4815000000
2011-03-26,4815000000
2011-03-26,2344000000
2011-03-26,2344000000
2011-06-25,7358000000
2011-06-25,7358000000
2011-06-25,2543000000
2011-06-25,2543000000
2011-09-24,10028000000
2011-09-24,10028000000
2011-09-24,10028000000
2011-09-24,10028000000
2011-12-31,3363000000
2011-12-31,3363000000
2012-03-31,6543000000
2012-03-31,6543000000
2012-03-31,3180000000
2012-03-31,3180000000
2012-06-30,9964000000
2012-06-30,9964000000
2012-06-30,3421000000
2012-06-30,3421000000
2012-09-29,13421000000
2012-09-29,13421000000
2012-09-29,13421000000
2012-09-29,13421000000
2012-09-29,13421000000
2012-12-29,3850000000
2012-12-29,3850000000
2013-03-30,7641000000
2013-03-30,7641000000
2013-03-30,3791000000
2013-03-30,3791000000
2013-06-29,11464000000
2013-06-29,11464000000
2013-06-29,3823000000
2013-06-29,3823000000
2013-09-28,15305000000
2013-09-28,15305000000
2013-09-28,15305000000
2013-09-28,15305000000
2013-12-28,4383000000
2013-12-28,4383000000
2014-03-29,8737000000
2014-03-29,8737000000
2014-03-29,4354000000
2014-03-29,4354000000
2014-06-28,13190000000
2014-06-28,13190000000
2014-06-28,4453000000
2014-06-28,4453000000
2014-09-27,18034000000
2014-09-27,18034000000
2014-09-27,18034000000
2014-09-27,18034000000
2014-12-27,5495000000
2014-12-27,5495000000
2015-03-28,10873000000
2015-03-28,10873000000
2015-03-28,5378000000
2015-03-28,5378000000
2015-06-27,16471000000
2015-06-27,16471000000
2015-06-27,5598000000
2015-06-27,5598000000
2015-09-26,22396000000
2015-09-26,22396000000
2015-09-26,22396000000
2015-12-26,6252000000
2015-12-26,6252000000
2016-03-26,12186000000
2016-03-26,12186000000
2016-03-26,5934000000
2016-03-26,5934000000
2016-06-25,18187000000
2016-06-25,18187000000
2016-06-25,6001000000
2016-06-25,6001000000
2016-09-24,24239000000
2016-09-24,24239000000
2016-09-24,24239000000
2016-12-31,6817000000
2016-12-31,6817000000
2017-04-01,13311000000
2017-04-01,13311000000
2017-04-01,6494000000
2017-04-01,6494000000
2017-07-01,20031000000
2017-07-01,20031000000
2017-07-01,6720000000
2017-07-01,6720000000
2017-09-30,26842000000
2017-09-30,26842000000
2017-09-30,26842000000
2017-12-30,7638000000
2017-12-30,7638000000
2018-03-31,15166000000
2018-03-31,15166000000
2018-03-31,7528000000
2018-03-31,7528000000
2018-06-30,22975000000
2018-06-30,22975000000
2018-06-30,7809000000
2018-06-30,7809000000
2018-09-29,30941000000
2018-09-29,30941000000
2018-09-29,30941000000
2018-12-29,8685000000
2018-12-29,8685000000
2019-03-30,17091000000
2019-03-30,17091000000
2019-03-30,8406000000
2019-03-30,8406000000
2019-06-29,25774000000
2019-06-29,25774000000
2019-06-29,8683000000
2019-06-29,8683000000
2019-09-28,34462000000
2019-09-28,34462000000
2019-09-28,34462000000
2019-12-28,9648000000
2019-12-28,9648000000
2020-03-28,19165000000
2020-03-28,19165000000
2020-03-28,9517000000
2020-03-28,9517000000
2020-06-27,28754000000
2020-06-27,28754000000
2020-06-27,9589000000
2020-06-27,9589000000
2020-09-26,38668000000
2020-09-26,38668000000
2020-09-26,38668000000
2020-12-26,10794000000
2020-12-26,10794000000
2021-03-27,21370000000
2021-03-27,21370000000
2021-03-27,10576000000
2021-03-27,10576000000
2021-06-26,32499000000
2021-06-26,32499000000
2021-06-26,11129000000
2021-06-26,11129000000
2021-09-25,43887000000
2021-09-25,43887000000
2021-09-25,43887000000
2021-12-25,12755000000
2021-12-25,12755000000
2022-03-26,25335000000
2022-03-26,25335000000
2022-03-26,12580000000
2022-03-26,12580000000
2022-06-25,38144000000
2022-06-25,38144000000
2022-06-25,12809000000
2022-06-25,12809000000
2022-09-24,51345000000
2022-09-24,51345000000
2022-09-24,51345000000
2022-12-31,14316000000
2022-12-31,14316000000
2023-04-01,27974000000
2023-04-01,27974000000
2023-04-01,13658000000
2023-04-01,13658000000
2023-07-01,41389000000
2023-07-01,41389000000
2023-07-01,13415000000
2023-07-01,13415000000
2023-09-30,54847000000
2023-09-30,54847000000
2023-12-30,14482000000
2023-12-30,14482000000
2024-03-30,28853000000
2024-03-30,28853000000
2024-03-30,14371000000
2024-03-30,14371000000
2024-06-29,43179000000
2024-06-29,43179000000
2024-06-29,14326000000
2024-06-29,14326000000
2024-09-28,57467000000
2024-12-28,15443000000
2025-03-29,30721000000
2025-03-29,15278000000
2025-06-28,46237000000
2025-06-28,15516000000
