end,OperatingIncomeLoss
2007-09-29,4409000000
2007-09-29,4407000000
2008-06-28,4833000000
2008-06-28,1392000000
2008-09-27,6275000000
2008-09-27,8327000000
2008-09-27,8327000000
2008-12-27,3101000000
2009-03-28,5424000000
2009-03-28,2323000000
2009-06-27,5465000000
2009-06-27,8056000000
2009-06-27,1672000000
2009-06-27,2632000000
2009-09-26,7658000000
2009-09-26,11740000000
2009-09-26,11740000000
2009-09-26,11740000000
2009-12-26,4725000000
2009-12-26,4725000000
2010-03-27,8704000000
2010-03-27,8704000000
2010-03-27,3979000000
2010-03-27,3979000000
2010-06-26,12938000000
2010-06-26,12938000000
2010-06-26,4234000000
2010-06-26,4234000000
2010-09-25,18385000000
2010-09-25,18385000000
2010-09-25,18385000000
2010-09-25,18385000000
2010-12-25,7827000000
2010-12-25,7827000000
2011-03-26,15701000000
2011-03-26,15701000000
2011-03-26,7874000000
2011-03-26,7874000000
2011-06-25,25080000000
2011-06-25,25080000000
2011-06-25,9379000000
2011-06-25,9379000000
2011-09-24,33790000000
2011-09-24,33790000000
2011-09-24,33790000000
2011-09-24,33790000000
2011-12-31,17340000000
2011-12-31,17340000000
2012-03-31,32724000000
2012-03-31,32724000000
2012-03-31,15384000000
2012-03-31,15384000000
2012-06-30,44297000000
2012-06-30,44297000000
2012-06-30,11573000000
2012-06-30,11573000000
2012-09-29,55241000000
2012-09-29,55241000000
2012-09-29,55241000000
2012-09-29,55241000000
2012-09-29,55241000000
2012-12-29,17210000000
2012-12-29,17210000000
2013-03-30,29768000000
2013-03-30,29768000000
2013-03-30,12558000000
2013-03-30,12558000000
2013-06-29,38969000000
2013-06-29,38969000000
2013-06-29,9201000000
2013-06-29,9201000000
2013-09-28,48999000000
2013-09-28,48999000000
2013-09-28,48999000000
2013-09-28,48999000000
2013-12-28,17463000000
2013-12-28,17463000000
2014-03-29,31056000000
2014-03-29,31056000000
2014-03-29,13593000000
2014-03-29,13593000000
2014-06-28,41338000000
2014-06-28,41338000000
2014-06-28,10282000000
2014-06-28,10282000000
2014-09-27,52503000000
2014-09-27,52503000000
2014-09-27,52503000000
2014-09-27,52503000000
2014-12-27,24246000000
2014-12-27,24246000000
2015-03-28,42524000000
2015-03-28,42524000000
2015-03-28,18278000000
2015-03-28,18278000000
2015-06-27,56607000000
2015-06-27,56607000000
2015-06-27,14083000000
2015-06-27,14083000000
2015-09-26,71230000000
2015-09-26,71230000000
2015-09-26,71230000000
2015-12-26,24171000000
2015-12-26,24171000000
2016-03-26,38158000000
2016-03-26,38158000000
2016-03-26,13987000000
2016-03-26,13987000000
2016-06-25,48263000000
2016-06-25,48263000000
2016-06-25,10105000000
2016-06-25,10105000000
2016-09-24,60024000000
2016-09-24,60024000000
2016-09-24,60024000000
2016-12-31,23359000000
2016-12-31,23359000000
2017-04-01,37456000000
2017-04-01,37456000000
2017-04-01,14097000000
2017-04-01,14097000000
2017-07-01,48224000000
2017-07-01,48224000000
2017-07-01,10768000000
2017-07-01,10768000000
2017-09-30,61344000000
2017-09-30,61344000000
2017-09-30,61344000000
2017-12-30,26274000000
2017-12-30,26274000000
2018-03-31,42168000000
2018-03-31,42168000000
2018-03-31,15894000000
2018-03-31,15894000000
2018-06-30,54780000000
2018-06-30,54780000000
2018-06-30,12612000000
2018-06-30,12612000000
2018-09-29,70898000000
2018-09-29,70898000000
2018-09-29,70898000000
2018-12-29,23346000000
2018-12-29,23346000000
2019-03-30,36761000000
2019-03-30,36761000000
2019-03-30,13415000000
2019-03-30,13415000000
2019-06-29,48305000000
2019-06-29,48305000000
2019-06-29,11544000000
2019-06-29,11544000000
2019-09-28,63930000000
2019-09-28,63930000000
2019-09-28,63930000000
2019-12-28,25569000000
2019-12-28,25569000000
2020-03-28,38422000000
2020-03-28,38422000000
2020-03-28,12853000000
2020-03-28,12853000000
2020-06-27,51513000000
2020-06-27,51513000000
2020-06-27,13091000000
2020-06-27,13091000000
2020-09-26,66288000000
2020-09-26,66288000000
2020-09-26,66288000000
2020-12-26,33534000000
2020-12-26,33534000000
2021-03-27,61037000000
2021-03-27,61037000000
2021-03-27,27503000000
2021-03-27,27503000000
2021-06-26,85163000000
2021-06-26,85163000000
2021-06-26,24126000000
2021-06-26,24126000000
2021-09-25,108949000000
2021-09-25,108949000000
2021-09-25,108949000000
2021-12-25,41488000000
2021-12-25,41488000000
2022-03-26,71467000000
2022-03-26,71467000000
2022-03-26,29979000000
2022-03-26,29979000000
2022-06-25,94543000000
2022-06-25,94543000000
2022-06-25,23076000000
2022-06-25,23076000000
2022-09-24,119437000000
2022-09-24,119437000000
2022-09-24,119437000000
2022-12-31,36016000000
2022-12-31,36016000000
2023-04-01,64334000000
2023-04-01,64334000000
2023-04-01,28318000000
2023-04-01,28318000000
2023-07-01,87332000000
2023-07-01,87332000000
2023-07-01,22998000000
2023-07-01,22998000000
2023-09-30,114301000000
2023-09-30,114301000000
2023-12-30,40373000000
2023-12-30,40373000000
2024-03-30,68273000000
2024-03-30,68273000000
2024-03-30,27900000000
2024-03-30,27900000000
2024-06-29,93625000000
2024-06-29,93625000000
2024-06-29,25352000000
2024-06-29,25352000000
2024-09-28,123216000000
2024-12-28,42832000000
2025-03-29,72421000000
2025-03-29,29589000000
2025-06-28,100623000000
2025-06-28,28202000000
