end,ResearchAndDevelopmentExpense
2007-09-29,782000000
2007-09-29,782000000
2008-06-28,811000000
2008-06-28,292000000
2008-09-27,1109000000
2008-09-27,1109000000
2008-09-27,1109000000
2008-12-27,315000000
2009-03-28,634000000
2009-03-28,319000000
2009-06-27,975000000
2009-06-27,975000000
2009-06-27,341000000
2009-06-27,341000000
2009-09-26,1333000000
2009-09-26,1333000000
2009-09-26,1333000000
2009-09-26,1333000000
2009-12-26,398000000
2009-12-26,398000000
2010-03-27,824000000
2010-03-27,824000000
2010-03-27,426000000
2010-03-27,426000000
2010-06-26,1288000000
2010-06-26,1288000000
2010-06-26,464000000
2010-06-26,464000000
2010-09-25,1782000000
2010-09-25,1782000000
2010-09-25,1782000000
2010-09-25,1782000000
2010-12-25,575000000
2010-12-25,575000000
2011-03-26,1156000000
2011-03-26,1156000000
2011-03-26,581000000
2011-03-26,581000000
2011-06-25,1784000000
2011-06-25,1784000000
2011-06-25,628000000
2011-06-25,628000000
2011-09-24,2429000000
2011-09-24,2429000000
2011-09-24,2429000000
2011-09-24,2429000000
2011-12-31,758000000
2011-12-31,758000000
2012-03-31,1599000000
2012-03-31,1599000000
2012-03-31,841000000
2012-03-31,841000000
2012-06-30,2475000000
2012-06-30,2475000000
2012-06-30,876000000
2012-06-30,876000000
2012-09-29,3381000000
2012-09-29,3381000000
2012-09-29,3381000000
2012-09-29,3381000000
2012-09-29,3381000000
2012-12-29,1010000000
2012-12-29,1010000000
2013-03-30,2129000000
2013-03-30,2129000000
2013-03-30,1119000000
2013-03-30,1119000000
2013-06-29,3307000000
2013-06-29,3307000000
2013-06-29,1178000000
2013-06-29,1178000000
2013-09-28,4475000000
2013-09-28,4475000000
2013-09-28,4475000000
2013-09-28,4475000000
2013-12-28,1330000000
2013-12-28,1330000000
2014-03-29,2752000000
2014-03-29,2752000000
2014-03-29,1422000000
2014-03-29,1422000000
2014-06-28,4355000000
2014-06-28,4355000000
2014-06-28,1603000000
2014-06-28,1603000000
2014-09-27,6041000000
2014-09-27,6041000000
2014-09-27,6041000000
2014-09-27,6041000000
2014-12-27,1895000000
2014-12-27,1895000000
2015-03-28,3813000000
2015-03-28,3813000000
2015-03-28,1918000000
2015-03-28,1918000000
2015-06-27,5847000000
2015-06-27,5847000000
2015-06-27,2034000000
2015-06-27,2034000000
2015-09-26,8067000000
2015-09-26,8067000000
2015-09-26,8067000000
2015-12-26,2404000000
2015-12-26,2404000000
2016-03-26,4915000000
2016-03-26,4915000000
2016-03-26,2511000000
2016-03-26,2511000000
2016-06-25,7475000000
2016-06-25,7475000000
2016-06-25,2560000000
2016-06-25,2560000000
2016-09-24,10045000000
2016-09-24,10045000000
2016-09-24,10045000000
2016-12-31,2871000000
2016-12-31,2871000000
2017-04-01,5647000000
2017-04-01,5647000000
2017-04-01,2776000000
2017-04-01,2776000000
2017-07-01,8584000000
2017-07-01,8584000000
2017-07-01,2937000000
2017-07-01,2937000000
2017-09-30,11581000000
2017-09-30,11581000000
2017-09-30,11581000000
2017-12-30,3407000000
2017-12-30,3407000000
2018-03-31,6785000000
2018-03-31,6785000000
2018-03-31,3378000000
2018-03-31,3378000000
2018-06-30,10486000000
2018-06-30,10486000000
2018-06-30,3701000000
2018-06-30,3701000000
2018-09-29,14236000000
2018-09-29,14236000000
2018-09-29,14236000000
2018-12-29,3902000000
2018-12-29,3902000000
2019-03-30,7850000000
2019-03-30,7850000000
2019-03-30,3948000000
2019-03-30,3948000000
2019-06-29,12107000000
2019-06-29,12107000000
2019-06-29,4257000000
2019-06-29,4257000000
2019-09-28,16217000000
2019-09-28,16217000000
2019-09-28,16217000000
2019-12-28,4451000000
2019-12-28,4451000000
2020-03-28,9016000000
2020-03-28,9016000000
2020-03-28,4565000000
2020-03-28,4565000000
2020-06-27,13774000000
2020-06-27,13774000000
2020-06-27,4758000000
2020-06-27,4758000000
2020-09-26,18752000000
2020-09-26,18752000000
2020-09-26,18752000000
2020-12-26,5163000000
2020-12-26,5163000000
2021-03-27,10425000000
2021-03-27,10425000000
2021-03-27,5262000000
2021-03-27,5262000000
2021-06-26,16142000000
2021-06-26,16142000000
2021-06-26,5717000000
2021-06-26,5717000000
2021-09-25,21914000000
2021-09-25,21914000000
2021-09-25,21914000000
2021-12-25,6306000000
2021-12-25,6306000000
2022-03-26,12693000000
2022-03-26,12693000000
2022-03-26,6387000000
2022-03-26,6387000000
2022-06-25,19490000000
2022-06-25,19490000000
2022-06-25,6797000000
2022-06-25,6797000000
2022-09-24,26251000000
2022-09-24,26251000000
2022-09-24,26251000000
2022-12-31,7709000000
2022-12-31,7709000000
2023-04-01,15166000000
2023-04-01,15166000000
2023-04-01,7457000000
2023-04-01,7457000000
2023-07-01,22608000000
2023-07-01,22608000000
2023-07-01,7442000000
2023-07-01,7442000000
2023-09-30,29915000000
2023-09-30,29915000000
2023-12-30,7696000000
2023-12-30,7696000000
2024-03-30,15599000000
2024-03-30,15599000000
2024-03-30,7903000000
2024-03-30,7903000000
2024-06-29,23605000000
2024-06-29,23605000000
2024-06-29,8006000000
2024-06-29,8006000000
2024-09-28,31370000000
2024-12-28,8268000000
2025-03-29,16818000000
2025-03-29,8550000000
2025-06-28,25684000000
2025-06-28,8866000000
