end,SalesRevenueNet
2007-09-29,24006000000
2007-09-29,24578000000
2008-06-28,24584000000
2008-06-28,7464000000
2008-09-27,32479000000
2008-09-27,37491000000
2008-09-27,37491000000
2008-12-27,11880000000
2008-12-27,11880000000
2009-03-28,20964000000
2009-03-28,9084000000
2009-03-28,9084000000
2009-06-27,26667000000
2009-06-27,30698000000
2009-06-27,8337000000
2009-06-27,9734000000
2009-06-27,9734000000
2009-09-26,36537000000
2009-09-26,42905000000
2009-09-26,42905000000
2009-09-26,42905000000
2009-09-26,12207000000
2009-12-26,15683000000
2009-12-26,15683000000
2009-12-26,15683000000
2009-12-26,15683000000
2010-03-27,29182000000
2010-03-27,29182000000
2010-03-27,13499000000
2010-03-27,13499000000
2010-03-27,13499000000
2010-03-27,13499000000
2010-06-26,44882000000
2010-06-26,44882000000
2010-06-26,15700000000
2010-06-26,15700000000
2010-06-26,15700000000
2010-06-26,15700000000
2010-09-25,65225000000
2010-09-25,65225000000
2010-09-25,65225000000
2010-09-25,65225000000
2010-09-25,20343000000
2010-09-25,20343000000
2010-12-25,26741000000
2010-12-25,26741000000
2010-12-25,26741000000
2010-12-25,26741000000
2010-12-25,26741000000
2011-03-26,51408000000
2011-03-26,51408000000
2011-03-26,24667000000
2011-03-26,24667000000
2011-03-26,24667000000
2011-03-26,24667000000
2011-03-26,24667000000
2011-06-25,79979000000
2011-06-25,79979000000
2011-06-25,28571000000
2011-06-25,28571000000
2011-06-25,28571000000
2011-06-25,28571000000
2011-06-25,28571000000
2011-09-24,108249000000
2011-09-24,108249000000
2011-09-24,108249000000
2011-09-24,108249000000
2011-09-24,28270000000
2011-09-24,28270000000
2011-09-24,28270000000
2011-12-31,46333000000
2011-12-31,46333000000
2011-12-31,46333000000
2011-12-31,46333000000
2011-12-31,46333000000
2012-03-31,85519000000
2012-03-31,85519000000
2012-03-31,39186000000
2012-03-31,39186000000
2012-03-31,39186000000
2012-03-31,39186000000
2012-03-31,39186000000
2012-06-30,120542000000
2012-06-30,120542000000
2012-06-30,35023000000
2012-06-30,35023000000
2012-06-30,35023000000
2012-06-30,35023000000
2012-06-30,35023000000
2012-09-29,156508000000
2012-09-29,156508000000
2012-09-29,156508000000
2012-09-29,156508000000
2012-09-29,156508000000
2012-09-29,35966000000
2012-09-29,35966000000
2012-09-29,35966000000
2012-12-29,54512000000
2012-12-29,54512000000
2012-12-29,54512000000
2012-12-29,54512000000
2012-12-29,54512000000
2013-03-30,98115000000
2013-03-30,98115000000
2013-03-30,43603000000
2013-03-30,43603000000
2013-03-30,43603000000
2013-03-30,43603000000
2013-03-30,43603000000
2013-06-29,133438000000
2013-06-29,133438000000
2013-06-29,35323000000
2013-06-29,35323000000
2013-06-29,35323000000
2013-06-29,35323000000
2013-06-29,35323000000
2013-09-28,170910000000
2013-09-28,170910000000
2013-09-28,170910000000
2013-09-28,170910000000
2013-09-28,37472000000
2013-09-28,37472000000
2013-09-28,37472000000
2013-12-28,57594000000
2013-12-28,57594000000
2013-12-28,57594000000
2013-12-28,57594000000
2013-12-28,57594000000
2014-03-29,103240000000
2014-03-29,103240000000
2014-03-29,45646000000
2014-03-29,45646000000
2014-03-29,45646000000
2014-03-29,45646000000
2014-03-29,45646000000
2014-06-28,140672000000
2014-06-28,140672000000
2014-06-28,37432000000
2014-06-28,37432000000
2014-06-28,37432000000
2014-06-28,37432000000
2014-06-28,37432000000
2014-09-27,182795000000
2014-09-27,182795000000
2014-09-27,182795000000
2014-09-27,182795000000
2014-09-27,42123000000
2014-09-27,42123000000
2014-09-27,42123000000
2014-12-27,74599000000
2014-12-27,74599000000
2014-12-27,74599000000
2014-12-27,74599000000
2015-03-28,132609000000
2015-03-28,132609000000
2015-03-28,58010000000
2015-03-28,58010000000
2015-03-28,58010000000
2015-03-28,58010000000
2015-06-27,182214000000
2015-06-27,182214000000
2015-06-27,49605000000
2015-06-27,49605000000
2015-06-27,49605000000
2015-06-27,49605000000
2015-09-26,233715000000
2015-09-26,233715000000
2015-09-26,233715000000
2015-09-26,51501000000
2015-09-26,51501000000
2015-12-26,75872000000
2015-12-26,75872000000
2015-12-26,75872000000
2015-12-26,75872000000
2016-03-26,126429000000
2016-03-26,126429000000
2016-03-26,50557000000
2016-03-26,50557000000
2016-03-26,50557000000
2016-03-26,50557000000
2016-06-25,168787000000
2016-06-25,168787000000
2016-06-25,42358000000
2016-06-25,42358000000
2016-06-25,42358000000
2016-06-25,42358000000
2016-09-24,215639000000
2016-09-24,215639000000
2016-09-24,46852000000
2016-09-24,46852000000
2016-12-31,78351000000
2016-12-31,78351000000
2016-12-31,78351000000
2017-04-01,131247000000
2017-04-01,131247000000
2017-04-01,52896000000
2017-04-01,52896000000
2017-04-01,52896000000
2017-07-01,176655000000
2017-07-01,176655000000
2017-07-01,45408000000
2017-07-01,45408000000
2017-07-01,45408000000
2017-09-30,229234000000
2017-09-30,52579000000
2017-12-30,88293000000
2018-03-31,149430000000
2018-03-31,61137000000
2018-06-30,202695000000
2018-06-30,53265000000
